# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
1.395000000000000018e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000062e-03 3.000000000000000062e-03
1.404999999999999805e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000062e-03 3.000000000000000062e-03
1.415000000000000036e+00 2.000000000000000042e-03 0.000000000000000000e+00 3.000000000000000062e-03 3.000000000000000062e-03
1.424999999999999822e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000062e-03
1.435000000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.444999999999999840e+00 0.000000000000000000e+00 2.000000000000000042e-03 2.000000000000000042e-03 0.000000000000000000e+00
1.455000000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.464999999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.475000000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.484999999999999876e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
